accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_highway,1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident
2018950000002,327174,670941,-3.167032,55.926001,95,3,1,1,31/12/2018,2,14:59:00,923,S12000036,6,0,6,20,9,4,6,0,0,5,1,1,1,0,0,1,1
2018950000006,324874,672457,-3.204252,55.939265,95,3,1,1,30/12/2018,1,12:50:00,923,S12000036,6,0,6,20,9,4,-1,-1,0,0,1,1,1,0,0,1,1
2018950000012,330500,671750,-3.114026,55.933761,95,3,2,2,03/01/2018,4,14:34:00,923,S12000036,3,6095,6,20,6,2,3,6106,0,5,1,1,2,0,0,1,1
2018950000015,321890,671640,-3.251772,55.93145,95,3,3,1,01/01/2018,2,02:25:00,923,S12000036,3,71,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1
2018950000017,320120,669330,-3.279409,55.910409,95,3,2,1,04/01/2018,5,09:00:00,923,S12000036,6,0,1,30,1,4,6,0,0,0,1,1,2,0,0,1,1
2018950000018,331752,667988,-3.093039,55.900147,95,3,3,1,03/01/2018,4,14:15:00,923,S12000036,3,720,1,70,1,2,3,720,0,0,1,1,2,0,0,2,1
2018950000019,325523,674024,-3.194299,55.953442,95,3,1,2,07/12/2018,6,20:30:00,923,S12000036,6,0,6,20,3,2,6,0,0,4,4,1,1,0,0,1,1
2018950000026,329230,675270,-3.135275,55.965195,95,3,1,1,08/01/2018,2,14:00:00,923,S12000036,6,0,6,30,9,4,6,0,0,0,1,1,4,0,0,1,1
2018950000033,327187,674441,-3.16777,55.957443,95,3,1,1,09/01/2018,3,04:15:00,923,S12000036,3,1,6,20,0,-1,-1,0,0,0,5,1,1,0,0,1,2
2018950000034,326420,672400,-3.179494,55.938992,95,3,2,1,08/01/2018,2,07:48:00,923,S12000036,3,700,6,20,6,2,3,700,0,5,1,1,4,0,0,1,1
2018950000035,325600,673640,-3.19296,55.950005,95,3,2,1,08/01/2018,2,15:00:00,923,S12000036,5,0,6,20,9,4,5,0,0,0,1,9,1,0,0,1,2
2018950000037,320500,671710,-3.274034,55.931851,95,3,1,1,09/01/2018,3,07:45:00,923,S12000036,5,0,6,20,6,2,6,0,0,5,1,1,1,0,0,1,2
2018950000038,323090,672270,-3.232751,55.937304,95,3,1,1,10/01/2018,4,18:19:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,6,1,1,0,2,1,1
2018950000039,319970,671230,-3.282372,55.927451,95,1,1,4,10/01/2018,4,21:47:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,5,1,1,0,0,1,1
2018950000041,328185,674639,-3.151843,55.959372,95,3,2,1,08/01/2018,2,17:00:00,923,S12000036,6,0,6,20,1,4,6,0,0,0,4,1,1,0,0,1,2
2018950000042,330320,672880,-3.1172,55.943886,95,3,1,1,11/01/2018,5,13:10:00,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1
2018950000051,321131,675038,-3.264912,55.961848,95,3,2,1,21/12/2018,6,12:41:00,923,S12000036,3,90,6,40,0,-1,-1,0,0,4,1,1,1,0,0,1,1
2018950000052,325930,674030,-3.187784,55.953559,95,3,2,2,06/01/2018,7,15:00:00,923,S12000036,3,1,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,1
2018950000055,322620,675690,-3.241256,55.967947,95,3,1,2,13/01/2018,7,13:25:00,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2
2018950000058,328340,674150,-3.149231,55.955002,95,3,2,3,13/01/2018,7,20:40:00,923,S12000036,3,1,6,30,7,2,3,1140,0,5,4,1,1,0,0,1,1
2018950000059,322080,672280,-3.248917,55.93723,95,3,1,1,11/01/2018,5,19:29:00,923,S12000036,5,0,6,30,3,2,5,0,0,5,7,1,1,0,0,1,2
2018950000060,329550,671620,-3.129195,55.932455,95,3,3,1,11/01/2018,5,17:20:00,923,S12000036,3,6095,6,20,3,3,6,0,0,0,4,9,1,0,0,1,2
2018950000065,326430,672840,-3.179454,55.942946,95,2,2,1,15/01/2018,2,10:30:00,923,S12000036,6,0,6,20,3,4,6,0,0,4,1,1,2,0,0,1,1
2018950000066,326330,675500,-3.181783,55.966825,95,3,1,1,15/01/2018,2,17:09:00,923,S12000036,5,0,6,20,0,-1,-1,0,0,0,7,2,2,0,0,1,2
2018950000068,326810,674470,-3.173815,55.957646,95,2,2,1,15/01/2018,2,16:40:00,923,S12000036,3,1,6,20,3,4,6,0,0,0,4,2,2,0,0,1,1
2018950000070,325310,674120,-3.197736,55.954271,95,2,2,1,16/01/2018,3,17:50:00,923,S12000036,5,0,6,20,3,4,6,0,0,0,4,3,2,0,0,1,1
2018950000074,325060,675220,-3.202044,55.964113,95,3,1,1,17/01/2018,4,14:25:00,923,S12000036,4,901,6,20,3,4,6,0,0,0,1,1,2,0,0,1,1
2018950000078,313200,677450,-3.392688,55.982144,95,3,2,1,18/01/2018,5,08:27:00,923,S12000036,6,0,6,20,3,4,6,0,0,0,1,1,2,0,0,1,1
2018950000080,323860,669470,-3.219637,55.912274,95,2,2,1,16/01/2018,3,18:15:00,923,S12000036,6,0,6,20,3,4,6,0,0,0,4,3,3,0,0,1,2
2018950000081,326100,676290,-3.185683,55.973885,95,3,1,1,18/01/2018,5,18:15:00,923,S12000036,6,0,6,20,6,4,6,0,0,0,4,1,2,0,0,1,1
2018950000090,324080,673190,-3.217166,55.945725,95,3,1,1,21/01/2018,1,05:25:00,923,S12000036,6,0,6,20,7,2,3,8,0,5,4,8,4,0,0,1,1
2018950000091,325540,674900,-3.194269,55.961313,95,2,1,1,22/01/2018,2,00:35:00,923,S12000036,4,901,6,20,9,2,6,0,0,5,4,1,2,0,0,1,1
2018950000092,312743,670916,-3.397892,55.923372,95,3,2,1,21/01/2018,1,13:30:00,923,S12000036,6,0,6,60,3,4,6,0,0,0,1,3,3,0,0,2,1
2018950000093,326570,671630,-3.176883,55.932098,95,3,2,1,11/01/2018,5,09:31:00,923,S12000036,6,0,6,20,6,2,5,0,0,0,1,1,1,0,0,1,1
2018950000094,312620,674400,-3.400989,55.954643,95,2,1,1,22/01/2018,2,17:25:00,923,S12000036,6,0,6,20,9,4,6,0,0,4,4,5,2,0,0,1,1
2018950000096,326500,676890,-3.17944,55.979337,95,2,2,1,16/01/2018,3,14:00:00,923,S12000036,6,0,1,20,2,4,6,0,0,0,1,9,2,0,0,1,2
2018950000097,327090,676550,-3.169895,55.976373,95,3,1,1,23/01/2018,3,08:15:00,923,S12000036,3,199,6,20,6,2,6,0,0,5,1,2,2,0,0,1,1
2018950000098,322960,668010,-3.233614,55.899016,95,3,1,1,23/01/2018,3,16:05:00,923,S12000036,6,0,6,60,8,4,6,0,0,0,1,2,2,0,0,2,1
2018950000099,322190,675620,-3.248122,55.967249,95,3,1,1,23/01/2018,3,18:40:00,923,S12000036,6,0,6,20,3,4,5,0,0,5,4,1,2,0,0,1,1
2018950000104,323100,672320,-3.232605,55.937754,95,3,2,1,19/01/2018,6,15:55:00,923,S12000036,3,71,6,30,9,4,6,0,0,0,1,9,1,0,0,1,2
2018950000105,322860,676050,-3.237515,55.97122,95,3,1,1,24/01/2018,4,11:25:00,923,S12000036,5,0,6,30,9,4,6,0,0,0,1,9,2,0,0,1,2
2018950000108,324100,673460,-3.216922,55.948153,95,2,1,1,24/01/2018,4,19:00:00,923,S12000036,6,0,6,20,3,4,6,0,0,0,4,5,2,0,0,1,1
2018950000109,326600,675200,-3.177376,55.964171,95,3,1,1,23/01/2018,3,13:50:00,923,S12000036,3,900,6,20,0,-1,-1,0,0,5,1,2,2,0,0,1,1
2018950000111,327240,670160,-3.165765,55.918996,95,3,2,1,24/01/2018,4,04:00:00,923,S12000036,5,0,6,30,3,4,6,0,0,0,4,5,2,0,0,1,1
2018950000113,326100,673450,-3.184903,55.948375,95,3,2,1,25/01/2018,5,23:30:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1
2018950000116,319780,673060,-3.285957,55.943857,95,3,2,1,26/01/2018,6,11:45:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2
2018950000119,329250,668690,-3.133226,55.906091,95,3,2,1,26/01/2018,6,14:05:00,923,S12000036,4,701,6,30,6,2,3,772,0,5,1,1,1,0,0,1,1
2018950000121,329550,671540,-3.129174,55.931736,95,2,1,1,28/01/2018,1,18:00:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,4,1,2,0,0,1,1
2018950000122,314790,671650,-3.365378,55.930332,95,3,2,1,28/01/2018,1,16:30:00,923,S12000036,1,8,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1
2018950000124,322510,670430,-3.241503,55.920681,95,2,1,1,29/01/2018,2,00:01:00,923,S12000036,5,0,6,30,6,4,6,0,0,8,4,5,2,0,0,1,1
2018950000125,326690,674470,-3.175736,55.957628,95,3,3,1,28/01/2018,1,19:30:00,923,S12000036,3,1,6,30,0,-1,-1,0,0,8,4,1,1,0,0,1,1
2018950000130,326310,675860,-3.182202,55.970055,95,3,1,1,30/01/2018,3,12:45:00,923,S12000036,6,0,6,20,3,4,4,900,0,0,1,1,1,0,0,1,1
2018950000132,326894,675978,-3.17288,55.971205,95,3,1,1,30/01/2018,3,12:35:00,923,S12000036,3,901,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1
2018950000133,324600,673380,-3.208896,55.947513,95,3,1,1,29/01/2018,2,14:00:00,923,S12000036,6,0,3,30,8,2,6,0,0,0,1,8,1,0,0,1,1
2018950000134,326490,671280,-3.178068,55.928942,95,2,1,1,30/01/2018,3,13:30:00,923,S12000036,6,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1
2018950000137,327570,671250,-3.160779,55.928837,95,3,2,1,31/01/2018,4,09:25:00,923,S12000036,6,0,1,20,1,2,6,0,0,0,1,8,2,0,0,1,1
2018950000138,324930,672770,-3.203443,55.942086,95,3,2,1,31/01/2018,4,15:51:00,923,S12000036,3,702,6,20,9,2,6,0,0,4,1,1,1,0,0,1,1
2018950000139,320630,671290,-3.27183,55.928099,95,3,1,1,29/01/2018,2,15:15:00,923,S12000036,5,0,6,20,0,-1,-1,0,1,4,1,9,1,0,0,1,2
2018950000140,319020,669890,-3.297169,55.915255,95,3,2,2,29/01/2018,2,06:45:00,923,S12000036,3,720,3,70,0,-1,-1,0,0,0,6,1,2,0,0,1,1
2018950000142,322690,672190,-3.239129,55.936521,95,3,1,1,01/02/2018,5,08:45:00,923,S12000036,3,71,6,20,6,2,6,0,2,5,1,1,1,0,0,1,1
2018950000147,326730,671820,-3.174374,55.93383,95,3,2,2,30/01/2018,3,22:13:00,923,S12000036,3,7,6,30,6,2,6,0,0,5,4,5,2,0,0,1,1
2018950000148,323670,672450,-3.22352,55.939013,95,3,1,1,02/02/2018,6,16:15:00,923,S12000036,6,0,3,40,3,2,5,0,0,0,1,1,1,0,0,1,1
2018950000152,320330,668830,-3.275904,55.905953,95,3,1,1,05/01/2018,6,21:09:00,923,S12000036,3,720,3,70,0,-1,-1,0,0,0,6,3,4,0,0,1,2
2018950000153,326790,673870,-3.173972,55.952253,95,3,1,1,03/02/2018,7,14:38:00,923,S12000036,5,0,6,20,0,-1,-1,0,0,0,1,2,2,0,0,1,1
2018950000154,320190,668850,-3.278148,55.906109,95,3,1,1,03/02/2018,7,18:23:00,923,S12000036,3,70,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1
2018950000155,319520,674980,-3.290692,55.961059,95,2,1,1,03/02/2018,7,19:23:00,923,S12000036,3,90,6,40,0,-1,-1,0,0,0,4,2,2,0,0,1,1
2018950000156,324600,672130,-3.208546,55.936285,95,3,1,1,03/02/2018,7,20:58:00,923,S12000036,3,702,6,20,0,-1,-1,0,0,0,4,2,2,0,0,1,1
2018950000161,312939,665438,-3.392992,55.874204,95,3,2,1,02/02/2018,6,15:55:00,923,S12000036,3,70,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1
2018950000162,330340,672830,-3.116867,55.94344,95,3,1,1,06/02/2018,3,12:40:00,923,S12000036,3,6106,6,30,6,2,3,1,0,5,1,1,1,0,0,1,1
2018950000165,322600,672280,-3.240595,55.937314,95,3,1,1,06/02/2018,3,16:45:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,1
2018950000166,318550,674890,-3.306197,55.960087,95,3,2,1,06/02/2018,3,17:20:00,923,S12000036,3,902,6,40,8,4,6,0,0,5,4,1,1,0,0,1,1
2018950000170,321540,674890,-3.258319,55.960586,95,3,2,1,08/02/2018,5,08:00:00,923,S12000036,6,0,6,20,3,2,3,902,0,5,1,1,1,0,0,1,2
2018950000171,329620,674340,-3.128786,55.956899,95,2,2,2,07/02/2018,4,15:25:00,923,S12000036,3,1140,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1
2018950000177,317700,672680,-3.319133,55.940091,95,3,2,1,08/02/2018,5,09:55:00,923,S12000036,3,8,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1
2018950000178,322914,673185,-3.235829,55.945494,95,3,2,1,29/01/2018,2,20:00:00,923,S12000036,6,0,6,30,3,4,6,0,0,0,4,9,1,0,0,1,2
2018950000179,320590,672820,-3.272921,55.941836,95,3,2,1,09/02/2018,6,08:45:00,923,S12000036,3,8,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1
2018950000181,324900,672590,-3.203873,55.940464,95,3,2,1,06/02/2018,3,15:55:00,923,S12000036,3,702,6,20,3,4,6,0,0,0,1,1,1,0,0,1,2
2018950000182,328700,669300,-3.142182,55.911489,95,3,1,1,09/02/2018,6,17:25:00,923,S12000036,3,772,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1
2018950000183,318120,667750,-3.310915,55.895881,95,3,1,1,07/02/2018,4,16:45:00,923,S12000036,3,70,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,2
2018950000184,325080,667510,-3.199581,55.894859,95,2,1,1,09/02/2018,6,12:15:00,923,S12000036,3,720,7,70,5,4,3,702,0,0,1,1,1,0,0,1,1
2018950000187,319580,674340,-3.28954,55.955321,95,3,2,1,07/02/2018,4,17:30:00,923,S12000036,6,0,6,30,6,2,6,0,0,8,4,8,1,0,0,1,1
2018950000188,326549,675097,-3.178165,55.963238,95,3,1,1,09/02/2018,6,18:57:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1
2018950000191,325930,673480,-3.187633,55.948619,95,3,1,1,11/02/2018,1,03:30:00,923,S12000036,5,0,6,20,0,-1,-1,0,0,4,4,1,2,0,0,1,1
2018950000192,325570,673960,-3.193529,55.952874,95,3,1,1,10/02/2018,7,16:33:00,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2
2018950000194,311547,678755,-3.4196,55.993563,95,2,1,1,10/02/2018,7,20:00:00,923,S12000036,1,90,3,70,5,4,1,9,0,0,1,5,2,0,0,2,1
2018950000199,315090,673120,-3.361041,55.943589,95,3,2,1,08/02/2018,5,17:40:00,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,7,1,1,0,0,2,1
2018950000200,318030,669690,-3.312942,55.913291,95,3,2,1,06/02/2018,3,21:30:00,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,3,1,1
2018950000201,318520,674820,-3.306656,55.959453,95,3,3,1,13/02/2018,3,07:53:00,923,S12000036,3,902,6,50,9,4,6,0,0,5,1,2,3,0,0,1,1
2018950000203,323670,672690,-3.223588,55.941169,95,3,2,1,05/02/2018,2,17:20:00,923,S12000036,3,70,6,20,3,4,6,0,0,0,4,9,1,0,0,1,2
2018950000204,326640,671360,-3.175689,55.929684,95,3,2,1,13/02/2018,3,11:10:00,923,S12000036,5,0,6,20,3,2,6,0,0,5,1,1,1,0,0,1,1
2018950000206,326120,670970,-3.183903,55.926101,95,3,3,1,13/02/2018,3,12:35:00,923,S12000036,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1
