name,city,type,beercount,est,status,url
217 Brew Works,Wilson,Microbrewery,10,2017,Active,https://www.ratebeer.com//brewers/217-brew-works/30902/
3rd Rock Brewing Company,Trenton,Microbrewery,12,2016,Active,https://www.ratebeer.com//brewers/3rd-rock-brewing-company/27344/
7 Clans Brewing,Cherokee,Client Brewer,1,2018,Active,https://www.ratebeer.com//brewers/7-clans-brewing/35021/
Andrews Brewing Company,Andrews,Microbrewery,18,2014,Active,https://www.ratebeer.com//brewers/andrews-brewing-company/18735/
Angry Troll Brewing,Elkin,Microbrewery,8,2017,Active,https://www.ratebeer.com//brewers/angry-troll-brewing/30127/
Appalachian Mountain Brewery,Boone,Microbrewery,78,2013,Active,https://www.ratebeer.com//brewers/appalachian-mountain-brewery/16180/
Archetype Brewing,Asheville,Microbrewery,15,2017,Active,https://www.ratebeer.com//brewers/archetype-brewing/32342/
Asheville Brewing Company,Asheville,Brewpub,87,2003,Active,https://www.ratebeer.com//brewers/asheville-brewing-company/3470/
Ass Clown Brewing Company,Cornelius,Microbrewery,106,2011,Active,https://www.ratebeer.com//brewers/ass-clown-brewing-company/13421/
Aviator Brewing Company,Fuquay Varina,Microbrewery,59,2008,Active,https://www.ratebeer.com//brewers/aviator-brewing-company/10050/
Barking Duck Brewing Company,Mint Hill,Microbrewery,16,2014,Active,https://www.ratebeer.com//brewers/barking-duck-brewing-company/20739/
Barrel Culture Brewing and Blending,Durham,Microbrewery,29,2017,Active,https://www.ratebeer.com//brewers/barrel-culture-brewing-and-blending/32894/
Bayne Brewing Company,Cornelius,Microbrewery,16,2014,Active,https://www.ratebeer.com//brewers/bayne-brewing-company/21622/
Bear Creek Brews,Bear Creek,Microbrewery,6,2012,Active,https://www.ratebeer.com//brewers/bear-creek-brews/14323/
BearWaters Brewing Company,Canton,Microbrewery,39,2012,Active,https://www.ratebeer.com//brewers/bearwaters-brewing-company/14490/
Beech Mountain Brewing Company,Beech Mountain,Microbrewery,7,2014,Active,https://www.ratebeer.com//brewers/beech-mountain-brewing-company/18796/
Beer Army Combat Brewery,Trenton,Microbrewery,11,2012,Active,https://www.ratebeer.com//brewers/beer-army-combat-brewery/16767/
Bhramari Brewing Co.,Asheville,Brewpub,52,2016,Active,https://www.ratebeer.com//brewers/bhramari-brewing-co/25747/
Big Boss Brewing Company,Raleigh,Brewpub/Brewery,82,2003,Active,https://www.ratebeer.com//brewers/big-boss-brewing-company/4222/
Bill's Front Porch Pub and Brewery,Wilmington ,Brewpub/Brewery,10,2016,Active,https://www.ratebeer.com//brewers/bills-front-porch-pub-and-brewery/28942/
Biltmore Brewing Company,Asheville,Client Brewer,4,2010,Active,https://www.ratebeer.com//brewers/biltmore-brewing-company/11684/
Birdsong Brewing Company,Charlotte,Microbrewery,59,2011,Active,https://www.ratebeer.com//brewers/birdsong-brewing-company/13469/
Blind Squirrel Brewery,Plumtree,Microbrewery,23,2013,Active,https://www.ratebeer.com//brewers/blind-squirrel-brewery/16430/
Blowing Rock Brewing Company,Blowing Rock,Brewpub/Brewery,37,2009,Active,https://www.ratebeer.com//brewers/blowing-rock-brewing-company/11031/
Blue Blaze Brewing,Charlotte,Microbrewery,18,2014,Active,https://www.ratebeer.com//brewers/blue-blaze-brewing/20413/
Blue Ghost Brewing Company,Fletcher,Microbrewery,18,2017,Active,https://www.ratebeer.com//brewers/blue-ghost-brewing-company/31103/
Blue Mountain Pizza and Brew Pub (NC),Weaverville,Brewpub/Brewery,28,2015,Active,https://www.ratebeer.com//brewers/blue-mountain-pizza-and-brew-pub-nc/22645/
Bold Missy Brewery,Charlotte,Microbrewery,13,2017,Active,https://www.ratebeer.com//brewers/bold-missy-brewery/31083/
Bombshell Beer Company,Holly Springs,Microbrewery,49,2013,Active,https://www.ratebeer.com//brewers/bombshell-beer-company/17169/
Bond Brothers Beer Company,Cary,Microbrewery,74,2016,Active,https://www.ratebeer.com//brewers/bond-brothers-beer-company/26284/
Boojum Brewing Company,Waynesville,Microbrewery,27,2015,Active,https://www.ratebeer.com//brewers/boojum-brewing-company/22990/
Boondocks Brewing,West Jefferson,Brewpub/Brewery,15,2013,Active,https://www.ratebeer.com//brewers/boondocks-brewing/18320/
Booneshine Brewing Company,Boone,Brewpub,21,2016,Active,https://www.ratebeer.com//brewers/booneshine-brewing-company/27395/
BottleTree Beer Company,Tryon,Client Brewer,2,2010,Active,https://www.ratebeer.com//brewers/bottletree-beer-company/11804/
Boylan Bridge Brewpub,Raleigh,Brewpub,16,2009,Active,https://www.ratebeer.com//brewers/boylan-bridge-brewpub/10343/
Brevard Brewing Company,Brevard ,Microbrewery,15,2012,Active,https://www.ratebeer.com//brewers/brevard-brewing-company/14736/
Brewery Bhavana,Raleigh ,Brewpub/Brewery,30,2017,Active,https://www.ratebeer.com//brewers/brewery-bhavana/31311/
Brice's Brewing Company,Raleigh,Brewpub,12,2017,Active,https://www.ratebeer.com//brewers/brices-brewing-company/30911/
Bright Light Brewing Company,Fayetteville,Microbrewery,5,2018,Active,https://www.ratebeer.com//brewers/bright-light-brewing-company/34280/
Broomtail Craft Brews,Wilmington,Microbrewery,10,2014,Active,https://www.ratebeer.com//brewers/broomtail-craft-brews/19710/
Brown Truck Brewery,High Point,Brewpub/Brewery,51,2016,Active,https://www.ratebeer.com//brewers/brown-truck-brewery/26037/
Brüeprint Brewing Company,Apex,Microbrewery,19,2014,Active,https://www.ratebeer.com//brewers/brueprint-brewing-company/19383/
Bull City Burger and Brewery, Durham,Brewpub/Brewery,64,2011,Active,https://www.ratebeer.com//brewers/bull-city-burger-and-brewery/12802/
Bull City Ciderworks,Durham,Commercial Brewery,9,2014,Active,https://www.ratebeer.com//brewers/bull-city-ciderworks/21179/
