PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
"7-Eleven
                      
                    ",Japan/Seven & I Holdings,"$1,000",$0,"$1,000"
"ABB Group
                       (ABB Group)
                    ",Switzerland/Asea Brown Boveri,"$9,500","$3,500","$6,000"
"Accenture
                       (Accenture)
                    ",Ireland/Accenture plc,"$82,000","$49,000","$33,000"
"Air Liquide America
                      
                    ",France/L'Air Liquide SA,"$14,000","$5,000","$9,000"
"Airbus Group
                      
                    ",Netherlands/Airbus Group,"$166,000","$69,000","$97,000"
"Alkermes Inc
                      
                    ",Ireland/Alkermes Plc,"$77,250","$25,750","$51,500"
"Allianz of America
                       (Allianz)
                    ",Germany/Allianz AG Holding,"$54,500","$25,350","$29,150"
"Anheuser-Busch
                       (Anheuser-Busch InBev)
                    ",Belgium/Anheuser-Busch InBev,"$256,000","$129,500","$126,500"
"AON Corp
                       (AON plc)
                    ",UK/AON PLC,"$58,000","$27,000","$31,000"
"APL Maritime
                       (CMA CGM)
                    ",France/CMA CGM SA,"$16,000","$10,500","$5,500"
"Aptiv PLC
                      
                    ",Ireland/Aptiv PLC,$0,$0,$0
"Arcadis US
                       (Arcadis NV)
                    ",Netherlands/Arcadis NV,$0,$0,$0
"ArcelorMittal USA
                      
                    ",Luxembourg/ArcelorMittal,"$35,500","$12,000","$23,500"
"Arch Capital Group (US)
                      
                    ",UK/Arch Capital Group,"$7,000","$3,500","$3,500"
"Arkema Inc
                      
                    ",France/Arkema,"$53,000","$20,000","$33,000"
"Ash Grove
                       (CRH Plc)
                    ",Ireland/CRH PLC,$0,$0,$0
"Ashton Woods Corp
                      
                    ",Canada/Great Gulf Group,$0,$0,$0
"Assured Guaranty Municipal Corp
                       (Assured Guaranty US Holdings)
                    ",UK/Assured Guaranty Ltd,"$85,000","$48,100","$36,900"
"Astellas US
                      
                    ",Japan/Astellas Pharma,"$153,000","$66,000","$87,000"
"AstraZeneca Pharmaceuticals
                       (AstraZeneca PLC)
                    ",UK/AstraZeneca PLC,"$195,000","$74,500","$120,500"
"Atkins North America
                      
                    ",UK/WS Atkins PLC,"$21,200","$6,500","$14,700"
"Austal USA
                      
                    ",Australia/Austal,"$16,400","$5,200","$11,200"
"Avangrid Inc
                       (Iberdrola SA)
                    ",Spain/Iberdrola SA,"$52,500","$26,000","$26,500"
"Bacardi USA
                      
                    ",UK/Bacardi Ltd,"$29,850","$10,500","$17,350"
"BAE Systems
                       (BAE Systems)
                    ",UK/BAE Systems,"$509,000","$253,000","$255,000"
"Barclays Group US
                      
                    ",UK/Barclays plc,"$74,500","$27,000","$47,500"
"Barrick Goldstrike Mines
                      
                    ",Canada/Barrick Gold Corp,"$25,500","$15,000","$10,500"
"BASF Corp
                      
                    ",Germany/BASF SE,"$316,500","$175,000","$141,500"
"Bayer Corp
                       (Bayer AG)
                    ",Germany/Bayer AG,"$177,500","$60,500","$117,000"
"Bayer CropScience
                       (Bayer AG)
                    ",Germany/Bayer AG,"-$4,500","-$4,500",$0
"BBVA USA
                      
                    ",Spain/Banco Bilbao Vizcaya Argentaria,"$245,000","$69,500","$175,500"
"Beam Suntory
                       (Suntory Holdings)
                    ",Japan/Suntory Holdings,"$21,397","$12,566","$8,831"
"BMO Financial Corp
                       (Bank of Montreal)
                    ",Canada/Bank of Montreal,"$117,960","$58,460","$59,500"
"BMO Financial Corp
                       (Bank of Montreal)
                    ",Canada/Bank of Montreal,"$1,500","$1,500",$0
"Boehringer Ingelheim Corp
                      
                    ",Germany/CH Boehringer Sohn,"$76,000","$33,000","$43,000"
"Bombardier Transportation USA
                       (Bombardier Inc)
                    ",Canada/Bombardier Inc,"$38,000","$24,000","$14,000"
"BP
                      
                    ",UK/BP PLC,"$187,500","$60,000","$127,500"
"Bridgestone Americas
                      
                    ",Japan/Bridgestone Corp,"$12,000","$3,500","$8,500"
"Bumble Bee Foods
                      
                    ",UK/Lion Capital,"$2,500","$2,500",$0
"Burson, Cohn & Wolfe
                       (WPP Group)
                    ",UK/WPP Group,"$29,000","$10,000","$18,500"
"Buzzi Unicem USA
                       (Buzzi Unicem SpA)
                    ",Italy/Buzzi Unicem SpA,$500,$0,$500
"CalPortland Co
                      
                    ",Japan/Taiheiyo Cement Co,"$65,000","$10,000","$55,000"
"Cardtronics Inc
                      
                    ",UK/Cardtronics Plc,"$6,500","$4,000","$2,500"
