name,country,parent,total,dems,repubs,year
7-Eleven,Japan,Seven & I Holdings,2000,1000,1000,2020
ABB Group (ABB Group),Switzerland,Asea Brown Boveri,15600,6800,8800,2020
Accenture (Accenture),Ireland,Accenture plc,82000,49000,33000,2020
Air Liquide America,France,L'Air Liquide SA,24800,11800,13000,2020
Airbus Group,Netherlands,Airbus Group,176500,72000,104500,2020
Alkermes Inc,Ireland,Alkermes Plc,89750,30750,59000,2020
Allianz of America (Allianz),Germany,Allianz AG Holding,66300,33150,33150,2020
AMG Vanadium,Netherlands,AMG Advanced Metallurgical Group,500,0,500,2020
Anheuser-Busch (Anheuser-Busch InBev),Belgium,Anheuser-Busch InBev,307500,171500,136000,2020
AON Corp (AON plc),UK,AON PLC,87500,44500,43000,2020
APL Maritime (CMA CGM),France,CMA CGM SA,23500,13000,10500,2020
Aptiv PLC,Ireland,Aptiv PLC,0,0,0,2020
Arcadis US (Arcadis NV),Netherlands,Arcadis NV,0,0,0,2020
ArcelorMittal USA,Luxembourg,ArcelorMittal,53500,23000,30500,2020
Arch Capital Group (US),UK,Arch Capital Group,7000,3500,3500,2020
Arkema Inc,France,Arkema,64500,24000,40500,2020
Ash Grove (CRH Plc),Ireland,CRH PLC,0,0,0,2020
Ashton Woods Corp,Canada,Great Gulf Group,0,0,0,2020
Assured Guaranty Municipal Corp (Assured Guaranty US Holdings),UK,Assured Guaranty Ltd,96600,59700,36900,2020
Astellas US,Japan,Astellas Pharma,191000,87500,103500,2020
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK,AstraZeneca PLC,262500,105500,157000,2020
Atkins North America,UK,WS Atkins PLC,38950,8250,30700,2020
Austal USA,Australia,Austal,31200,6200,25000,2020
Avangrid Inc (Iberdrola SA),Spain,Iberdrola SA,76500,41500,35000,2020
Bacardi USA,UK,Bacardi Ltd,38350,16000,20350,2020
BAE Systems (BAE Systems),UK,BAE Systems,685000,350000,333000,2020
Barclays Group US,UK,Barclays plc,128500,59000,69500,2020
Barrick Goldstrike Mines,Canada,Barrick Gold Corp,39500,24000,15500,2020
BASF Corp,Germany,BASF SE,423250,236750,186500,2020
Bayer Corp (Bayer AG),Germany,Bayer AG,318000,133000,185000,2020
Bayer CropScience (Bayer AG),Germany,Bayer AG,-4500,-4500,0,2020
BBVA USA,Spain,Banco Bilbao Vizcaya Argentaria,382500,141500,241000,2020
BCW Global (WPP Group),UK,WPP Group,40500,14500,25000,2020
Beam Suntory (Suntory Holdings),Japan,Suntory Holdings,35397,21566,13831,2020
BMO Financial Corp (Bank of Montreal),Canada,Bank of Montreal,4000,4000,0,2020
BMO Financial Corp (Bank of Montreal),Canada,Bank of Montreal,166260,77260,89000,2020
Boehringer Ingelheim Corp,Germany,CH Boehringer Sohn,140000,76000,64000,2020
Bombardier Transportation USA (Bombardier Inc),Canada,Bombardier Inc,44500,27000,17500,2020
BP,UK,BP PLC,209000,76000,133000,2020
Bridgestone Americas,Japan,Bridgestone Corp,16500,3500,13000,2020
Bumble Bee Foods (FCF Co),Taiwan,FCF Co,2500,2500,0,2020
Buzzi Unicem USA (Buzzi Unicem SpA),Italy,Buzzi Unicem SpA,500,0,500,2020
CalPortland Co,Japan,Taiheiyo Cement Co,199500,19500,180000,2020
Cardtronics Inc,UK,Cardtronics Plc,11000,6500,4500,2020
Carmeuse Lime,Netherlands,Carmeuse Holding SA,0,0,0,2020
Case New Holland,Netherlands,CNH Global,102000,7000,95000,2020
CEMEX Inc,Mexico,CEMEX SA de CV,186500,55500,131000,2020
CGI Technologies & Solutions,Canada,Groupe CGI,36500,29500,7000,2020
Chicago Bridge & Iron (McDermott International),Panama,McDermott International,5470,470,5000,2020
Chubb Group of Insurance Companies,Switzerland,Chubb Ltd,196000,96000,100000,2020
CIBC Bancorp,Canada,Canadian Imperial Bank of Commerce,5000,3000,2000,2020
Cirrus Aircraft Corp,China,China Aviation Industry General Aircraft,1500,1500,0,2020
Cobham Management Services,UK,Cobham PLC,64000,13500,50500,2020
Continental Automotive Systems (Continental AG),Germany,Continental AG,71000,41500,29500,2020
Covestro LLC (Covestro AG),Germany,Covestro AG,38500,8500,30000,2020
Credit Suisse Securities,Switzerland,Credit Suisse Group,49500,22500,27000,2020
CRH Americas (CRH PLC),Ireland,CRH PLC,533500,196500,337000,2020
CSL Behring,Australia,CSL Ltd,78800,25500,53300,2020
Daimler Trucks North America (Daimler AG),Germany,Daimler AG,2500,0,2500,2020
Delek US Holdings,Israel,Delek Group,0,0,0,2020
Delhaize America,Belgium,Ahold Delhaize,32500,11000,21500,2020
Deutsche Bank Securities,Germany,Deutsche Bank AG,0,0,0,2020
Diageo North America (Diageo PLC),UK,Diageo PLC,45563,26595,18968,2020
Direct Energy Inc,UK,Centrica Plc,20300,12500,7800,2020
Eaton Corp (Eaton Corp),Ireland,Eaton Plc,36500,15000,21500,2020
EDF Renewables (EDF Group),France,EDF Group,36500,20000,16500,2020
EDP Renewables NA,Portugal,EDP Renovaveis,21000,10000,11000,2020
Eisai Inc,Japan,Eisai Co Ltd,17500,7500,10000,2020
Elbit Systems of America,Israel,Elbit Systems Ltd,53450,9100,44350,2020
Elekta Inc (Elekta AB),Sweden,Elekta AB,72000,35500,36500,2020
Embraer Aircraft Holdings,Brazil,Embraer-Empresa Brasileira de Aeronautic,47500,13500,34000,2020
EMD Serono Inc,Germany,Merck KGaA,150500,66500,84000,2020
Enbridge Inc,Canada,Enbridge Inc,51500,15500,36000,2020
Endo Pharmaceuticals,Ireland,Endo International,129500,64500,65000,2020
ENGIE North America,France,ENGIE,11500,6000,5500,2020
Equitable Holdings (AXA),France,AXA,137000,57500,79500,2020
