"pets","us_region","class_year","hair_color","campus","watch_sports","beyonce_love","fav_artist","social_network","relationship_status","num_siblings","num_languages","nights_drinking","pbj_or_n","tenting","countries_visited","first_kiss","hours_watching_television","perimeter","fav_campus_eatery","fb_visits_per_day","ac","condiment","vegetarian","voted_for_president","social_club","space_time","university_applications","pizza_consumption","sick","games_attended","pepsi_or_coke","fav_friend_character","continents_visited","game_of_thrones","netflix_binge_show","chipotle_order","fav_pokemon","first_tooth","fav_cheese","cat_or_dog","fav_late_night_food","fav_dessert_flavor","fav_off_campus_restaurant","vending_machine","multicultural","smell","parents_age","marketplace_worst_meal","best_book_turned_show","fav_fantasy_universe","hogwarts_house","shooters"
"1","Southeast","Junior","Brown","West","Basketball","yes","Taylor swift","Facebook","no","2","1","0","Nutella","unsure","15","17","4","What even is the Perimeter ","None of the above","10","Yes","Soy Sauce","no","yes","Greek life","Time","11","0","4","5","Neither they're nasty","Phoebe","4","I don't know what you are talking about.","Gilmore Girls","Burrito","Charizard","5","Brie","Dog","Cosmic","other","Parker and Otis","No","No","Bakery","54","salad bar","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","2"
"0","Southeast","First-year","Brown","East","Football","hell yes","Taylor swift","Instagram","no","2","2","3","Nutella","none","7","16","6","Inside","The Loop","4","No","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Greek life","Time","11","10","2","1","Coke","Chandler","2","I don't know what you are talking about.","Friends","Burrito Bowl","Charizard","5","Cheddar","Dog","Pizza","vanilla","Chipotle","No","Yes","Pizza","55","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","2"
"0","Not from the US","Sophomore","Black","West","Soccer","no","none of these","Facebook","no","2","3","0","Some combination of two","none","4",NA,"3","What even is the Perimeter ","Other","8","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","SLG","Time","11","0","1","1","Neither they're nasty","Phoebe","5","I don't know what you are talking about.","Gilmore Girls","Soft tacos","Jigglypuff","7","None of the above","Dog","Pitchforks","fruity","Harris Teeter's","No","Yes","Bakery","46","watery pasta","Hunger Games","Harry Potter","Ravenclaw (because I'm better than you)","0"
"1","Pacific Northwest","Junior","Brown","Off campus","Football","hell yes","Kanye West","Snapchat","no","2","1","6","Some combination of two","none","2","13","8","Outside","The Loop","10","Yes","Ketchup","no","no, I was eligible but chose not to vote","Greek life","Time","1","1","0","0","Coke","Joey","1","House Targaryen","House of Cards","Burrito Bowl","Charizard","8","Pepperjack","Dog","Pitchforks","chocolate","Chipotle","Sometimes","No","Clean Laundry","52.5","powdered eggs","Harry Potter","Game of Thrones","Gryffindor (because I'm a badass)","12"
"7","Southwest","Sophomore","Brown","West","I don't watch sports","hell yes","none of these","Instagram","it's complicated","7","3","1","Some combination of two","white","2","16","0","Outside","Divinity Refectory","10","Yes","Honey Mustard","yes","yes","SLG","Time","3","0","0","1","Neither they're nasty","Rachel","2","I don't know what you are talking about.","Gilmore Girls","Burrito","Charizard","6","Goat","Cat","Cookout","sweet-and-salty","Cosmic","No","No","Bakery","52","the giant roasted hog","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","0"
"1","Mid-Atlantic","Sophomore","Brown","West","Basketball","hell yes","Beyonce","Instagram","no","2","1","2","Nutella","black","15","12","8","Outside","Divinity Refectory","6","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Independent","Time","10","1","0","10","Neither they're nasty","Ross","5","House Targaryen","How I Met Your Mother","Burrito Bowl","Jigglypuff","6","Pepperjack","Dog","Pizza","vanilla","Parker and Otis","No","No","Pizza","58.5","powdered eggs","Hunger Games","Harry Potter","Gryffindor (because I'm a badass)","1"
"3","Midwest","First-year","Blonde","East","I don't watch sports","meh","Taylor swift",NA,"no","2","2","2","Peanut butter","none","5","15","0","What even is the Perimeter ","Divinity Refectory","20","Yes",NA,"no","no, I was not eligible due to age or citizenship status","Greek life","Outer space","18","0","2","0","Neither they're nasty","Joey","3","I don't know what you are talking about.","How I Met Your Mother","Salad","Charizard","5","Brie","Dog",NA,"chocolate","Harris Teeter's","No","No","Clean Laundry","51","the giant roasted hog","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)",NA
"0","Mid-Atlantic","Sophomore","Brown","West","Basketball","yes","Kanye West","Facebook","no","1","1","2","Nutella","none","4","17","3",NA,"Edens Cafe (lol)","15","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","SLG","Time","2","1","0","17","Coke","Chandler","2","House Stark","Breaking Bad","Burrito","Charizard","8","Cheddar","Dog","Cookout","chocolate","Chipotle","Sometimes","Yes","Clean Laundry","54","salad bar","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","3"
"1","Mid-Atlantic","Sophomore","Blonde","Central","Basketball","hell yes","Taylor swift","Instagram","no","4","2","2","Peanut butter","white","4","13",".5","What even is the Perimeter ","Edens Cafe (lol)","15","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","1","0","0","3","Coke","Chandler","3","I don't know what you are talking about.","Friends","Quesadilla","Jigglypuff","7","None of the above","Dog","Pitchforks","vanilla","Chipotle","Sometimes","Yes","Clean Laundry",NA,"powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","3"
"1","Midwest","First-year","Brown","East","Basketball","yes","none of these","Instagram","it's complicated","2","2","2","Peanut butter","unsure","3","14","1","All of the Above","Other","4","Yes","Sriracha","yes","no, I was not eligible due to age or citizenship status","SLG","Time","13","0","7","1","Neither they're nasty","Rachel","2","I don't know what you are talking about.","House of Cards","Burrito Bowl","Jigglypuff","4","Brie","Dog","Cosmic","other","Chamas","Sometimes","Yes","Pine","52","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
